CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
68	194015	348438	35.77	542453
69	234590	399390	37.00	633980
70	231600	340133	40.51	571733
71	340496	351961	49.17	692457
72	224996	341288	39.73	566284
73	178586	346940	33.98	525526
74	193827	325028	37.36	518855
75	262956	332324	44.17	595280
76	231310	330349	41.18	561659
77	229046	325049	41.34	554095
78	189677	324519	36.89	514196
79	187194	323142	36.68	510336
80	199251	325091	38.00	524342
81	193825	334687	36.67	528512
82	191768	325156	37.10	516924
83	198661	323736	38.03	522397
84	169433	314636	35.00	484069
85	197913	328451	37.60	526364
86	195888	326725	37.48	522613
87	197821	319230	38.26	517051
88	181153	319234	36.20	500387
89	183067	307635	37.31	490702
90	184403	309717	37.32	494120
91	190240	320614	37.24	510854
92	182733	308819	37.17	491552
93	217201	328842	39.78	546043
94	173069	299776	36.60	472845
95	205636	311172	39.79	516808
96	188123	298949	38.62	487072
97	171577	308983	35.70	480560
98	178391	309652	36.55	488043
99	185934	302059	38.10	487993
100	170117	294066	36.65	464183
101	153331	248537	38.15	401868

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	50727	113687	30.85	164414
2	1918	446838	0.43	448756
3	590	226619	0.26	227209
4	2250	779854	0.29	782104
5	2507	811854	0.31	814361
6	2560	993532	0.26	996092
7	3633	1262379	0.29	1266012
8	5621	1286856	0.43	1292477
9	2882	1088927	0.26	1091809
10	3112	1222450	0.25	1225562
11	2734	989106	0.28	991840
12	2692	996746	0.27	999438
13	2505	1043359	0.24	1045864
14	2720	1077626	0.25	1080346
15	2248	959897	0.23	962145
16	2315	1016090	0.23	1018405
17	5125	1685954	0.30	1691079
18	2310	1049278	0.22	1051588
19	3427	1307076	0.26	1310503
20	2965	1451402	0.20	1454367
21	2436	984695	0.25	987131
22	2504	1037487	0.24	1039991
23	2186	973158	0.22	975344
24	3677	1555756	0.24	1559433
25	2755	1187729	0.23	1190484
26	2376	1011945	0.23	1014321
27	2169	977435	0.22	979604
28	2372	1043670	0.23	1046042
29	3854	1447908	0.27	1451762
30	2293	1023091	0.22	1025384
31	2399	1015180	0.24	1017579
32	2914	1110889	0.26	1113803
33	2555	1038916	0.25	1041471
34	2247	1108105	0.20	1110352
35	2726	1010491	0.27	1013217
36	2518	981755	0.26	984273
37	2931	1083404	0.27	1086335
38	3147	1578784	0.20	1581931
39	2234	1019360	0.22	1021594
40	2759	1219946	0.23	1222705
41	2288	1030477	0.22	1032765
42	2235	953212	0.23	955447
43	2426	1048165	0.23	1050591
44	3061	1330886	0.23	1333947
45	2311	1024803	0.22	1027114
46	5459	1649358	0.33	1654817
47	2476	1010276	0.24	1012752
48	2548	1080273	0.24	1082821
49	3032	1273251	0.24	1276283
50	4556	1956368	0.23	1960924
51	2522	1061237	0.24	1063759
52	2366	1041605	0.23	1043971
53	2497	1051124	0.24	1053621
54	2836	1050994	0.27	1053830
55	2518	1055451	0.24	1057969
56	2278	1027958	0.22	1030236
57	2568	1112950	0.23	1115518
58	3712	1488191	0.25	1491903
59	2632	1112374	0.24	1115006
60	2479	1005332	0.25	1007811
61	2285	977686	0.23	979971
62	2455	1042073	0.24	1044528
63	2422	977915	0.25	980337
64	2428	1008827	0.24	1011255
65	2177	966436	0.22	968613
66	2253	1026118	0.22	1028371
67	2858	1208887	0.24	1211745
68	4041	1293638	0.31	1297679
69	3078	1233849	0.25	1236927
70	2710	1305199	0.21	1307909
71	2536	1040528	0.24	1043064
72	2264	989462	0.23	991726
73	2440	1031929	0.24	1034369
74	2174	1015439	0.21	1017613
75	2556	1012089	0.25	1014645
76	2764	1013195	0.27	1015959
77	2409	1046709	0.23	1049118
78	2292	970487	0.24	972779
79	2268	974841	0.23	977109
80	2233	979967	0.23	982200
81	2834	1050528	0.27	1053362
82	2560	1008465	0.25	1011025
83	3257	1058453	0.31	1061710
84	2510	977969	0.26	980479
85	3410	1200737	0.28	1204147
86	2661	1013349	0.26	1016010
87	2737	1043554	0.26	1046291
88	2384	922369	0.26	924753
89	2357	925727	0.25	928084
90	2497	933495	0.27	935992
91	2467	919977	0.27	922444
92	2689	979760	0.27	982449
93	2769	898339	0.31	901108
94	2505	901425	0.28	903930
95	2531	907513	0.28	910044
96	2708	888750	0.30	891458
97	2809	869689	0.32	872498
98	2797	869751	0.32	872548
99	2619	857824	0.30	860443
100	2263	853898	0.26	856161
101	1813	770167	0.23	771980

CHH context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	18588	1627632	1.13	1646220
2	8884	2218798	0.40	2227682
3	5747	1587782	0.36	1593529
4	7617	2258626	0.34	2266243
5	10545	2721291	0.39	2731836
6	5361	2540492	0.21	2545853
7	6897	3081487	0.22	3088384
8	5972	2409092	0.25	2415064
9	5533	2581193	0.21	2586726
10	5049	2417167	0.21	2422216
11	5615	2395231	0.23	2400846
12	5054	2369000	0.21	2374054
13	6643	3022366	0.22	3029009
14	5065	2358074	0.21	2363139
15	5970	2780298	0.21	2786268
16	5337	2601366	0.20	2606703
17	6416	2664879	0.24	2671295
18	5710	2772673	0.21	2778383
19	5733	2908874	0.20	2914607
20	4805	2368477	0.20	2373282
21	6466	2357730	0.27	2364196
22	5121	2610352	0.20	2615473
23	4951	2577511	0.19	2582462
24	5561	2735991	0.20	2741552
25	7085	2613983	0.27	2621068
26	5370	2434777	0.22	2440147
27	5381	2903511	0.18	2908892
28	5721	3011606	0.19	3017327
29	5347	2582794	0.21	2588141
30	4949	2393941	0.21	2398890
31	8357	2901740	0.29	2910097
32	6288	2972594	0.21	2978882
33	8348	2730760	0.30	2739108
34	6853	2776161	0.25	2783014
35	6463	3342598	0.19	3349061
36	9053	3153481	0.29	3162534
37	5749	2452992	0.23	2458741
38	5303	2490022	0.21	2495325
39	5424	2519577	0.21	2525001
40	5771	2545173	0.23	2550944
41	9766	3070764	0.32	3080530
42	5405	2420035	0.22	2425440
43	6244	3017667	0.21	3023911
44	6611	2539153	0.26	2545764
45	6356	3157154	0.20	3163510
46	5109	2466787	0.21	2471896
47	5717	2363766	0.24	2369483
48	5221	2467247	0.21	2472468
49	6159	3219796	0.19	3225955
50	5165	2481468	0.21	2486633
51	5268	2400260	0.22	2405528
52	5146	2379109	0.22	2384255
53	5570	2428792	0.23	2434362
54	5264	2441271	0.22	2446535
55	7038	2644545	0.27	2651583
56	5550	2434867	0.23	2440417
57	5748	2525859	0.23	2531607
58	5544	2626188	0.21	2631732
59	6208	2781453	0.22	2787661
60	6814	2545008	0.27	2551822
61	5933	2665143	0.22	2671076
62	5582	2524649	0.22	2530231
63	8215	2666656	0.31	2674871
64	6146	2520230	0.24	2526376
65	6026	2489662	0.24	2495688
66	5768	2530809	0.23	2536577
67	5755	2850137	0.20	2855892
68	5546	2936428	0.19	2941974
69	4785	2459671	0.19	2464456
70	5376	2486504	0.22	2491880
71	6431	2533333	0.25	2539764
72	5201	2639645	0.20	2644846
73	4830	2447752	0.20	2452582
74	5846	2849365	0.20	2855211
75	5592	2537653	0.22	2543245
76	6427	2773509	0.23	2779936
77	4960	2459927	0.20	2464887
78	4943	2295634	0.21	2300577
79	4264	2301205	0.18	2305469
80	5232	2445047	0.21	2450279
81	5511	2475598	0.22	2481109
82	5980	2383606	0.25	2389586
83	5310	2382497	0.22	2387807
84	5060	2430642	0.21	2435702
85	5255	2408450	0.22	2413705
86	5491	2385534	0.23	2391025
87	4799	2221929	0.22	2226728
88	4550	2246459	0.20	2251009
89	5074	2404731	0.21	2409805
90	5781	2281977	0.25	2287758
91	5291	2261887	0.23	2267178
92	5146	2279340	0.23	2284486
93	5516	2358319	0.23	2363835
94	4694	2259308	0.21	2264002
95	4930	2377589	0.21	2382519
96	5111	2194093	0.23	2199204
97	4538	2108415	0.21	2112953
98	4027	1857443	0.22	1861470
99	4622	1927020	0.24	1931642
100	4777	2058491	0.23	2063268
101	3698	1958284	0.19	1961982

CpG context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	15732	26685	37.09	42417
2	118983	24809	82.75	143792
3	101101	220297	31.46	321398
4	304043	204907	59.74	508950
5	122334	193808	38.70	316142
6	212511	227600	48.29	440111
7	193583	218037	47.03	411620
8	250681	201621	55.42	452302
9	153026	201300	43.19	354326
10	233423	206131	53.10	439554
11	129037	180892	41.63	309929
12	153582	175749	46.63	329331
13	118114	168908	41.15	287022
14	146607	170990	46.16	317597
15	132843	170373	43.81	303216
16	187483	178044	51.29	365527
17	142495	162105	46.78	304600
18	125555	151137	45.38	276692
19	139614	152537	47.79	292151
20	145113	153591	48.58	298704
21	135789	150462	47.44	286251
22	120937	138675	46.58	259612
23	120712	137854	46.69	258566
24	191697	149043	56.26	340740
25	130302	132382	49.60	262684
26	124284	126960	49.47	251244
27	159372	135950	53.97	295322
28	167029	132120	55.83	299149
29	160150	125460	56.07	285610
30	209177	134847	60.80	344024
31	142117	118410	54.55	260527
32	288918	137321	67.78	426239
33	127933	112551	53.20	240484
34	133691	106214	55.73	239905
35	122851	103419	54.29	226270
36	138814	110957	55.58	249771
37	118490	107324	52.47	225814
38	112908	98101	53.51	211009
39	115533	100293	53.53	215826
40	158268	103565	60.45	261833
41	129036	94760	57.66	223796
42	114264	90695	55.75	204959
43	133368	92036	59.17	225404
44	137925	94446	59.36	232371
45	107261	83993	56.08	191254
46	107011	85270	55.65	192281
47	96582	83615	53.60	180197
48	118132	83468	58.60	201600
49	122286	84709	59.08	206995
50	117690	76145	60.72	193835
51	110191	76401	59.05	186592
52	210757	83775	71.56	294532
53	148118	84073	63.79	232191
54	155673	82625	65.33	238298
55	110287	69364	61.39	179651
56	203909	78176	72.29	282085
57	104369	69641	59.98	174010
58	108478	68847	61.17	177325
59	112649	66164	63.00	178813
60	126686	69118	64.70	195804
61	103328	63070	62.10	166398
62	127766	66415	65.80	194181
63	109574	63639	63.26	173213
64	194139	67614	74.17	261753
65	90705	57770	61.09	148475
66	96568	59525	61.87	156093
67	87423	56222	60.86	143645
68	143014	55533	72.03	198547
69	89076	55133	61.77	144209
70	99296	53161	65.13	152457
71	75879	51462	59.59	127341
72	71742	51401	58.26	123143
73	71844	48522	59.69	120366
74	92525	49161	65.30	141686
75	82638	45196	64.64	127834
76	75180	48220	60.92	123400
77	63600	45611	58.24	109211
78	61990	39805	60.90	101795
79	67076	40473	62.37	107549
80	64025	42169	60.29	106194
81	73123	42100	63.46	115223
82	65670	38133	63.26	103803
83	54288	37464	59.17	91752
84	61922	37532	62.26	99454
85	67527	37070	64.56	104597
86	62063	35187	63.82	97250
87	50985	31852	61.55	82837
88	57296	36143	61.32	93439
89	52164	33647	60.79	85811
90	59997	33290	64.31	93287
91	52317	30671	63.04	82988
92	53751	32490	62.33	86241
93	43540	27676	61.14	71216
94	48875	29216	62.59	78091
95	49390	29441	62.65	78831
96	68012	29551	69.71	97563
97	70877	29851	70.36	100728
98	56240	14397	79.62	70637
99	42639	0	100.00	42639

CHG context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	53088	9051285	0.58	9104373
2	1144	289039	0.39	290183
3	462	168000	0.27	168462
4	1701	640275	0.26	641976
5	1526	664170	0.23	665696
6	1782	765714	0.23	767496
7	1922	999648	0.19	1001570
8	2042	932219	0.22	934261
9	1675	852949	0.20	854624
10	1963	832104	0.24	834067
11	1720	774762	0.22	776482
12	1520	735945	0.21	737465
13	1714	759795	0.23	761509
14	1629	726390	0.22	728019
15	1632	669269	0.24	670901
16	1568	678297	0.23	679865
17	1704	834496	0.20	836200
18	1667	728399	0.23	730066
19	2262	1063263	0.21	1065525
20	1873	823267	0.23	825140
21	1491	678319	0.22	679810
22	1346	680630	0.20	681976
23	1335	627615	0.21	628950
24	1644	697763	0.24	699407
25	1916	968494	0.20	970410
26	1274	625659	0.20	626933
27	1255	618452	0.20	619707
28	1394	665740	0.21	667134
29	1701	874006	0.19	875707
30	2769	676591	0.41	679360
31	1612	638285	0.25	639897
32	2163	713193	0.30	715356
33	1423	602979	0.24	604402
34	1453	620556	0.23	622009
35	1864	606563	0.31	608427
36	1294	571480	0.23	572774
37	1379	622287	0.22	623666
38	1699	689639	0.25	691338
39	1260	569413	0.22	570673
40	2580	873808	0.29	876388
41	1301	562634	0.23	563935
42	1202	536571	0.22	537773
43	1089	546359	0.20	547448
44	1311	558169	0.23	559480
45	1153	525649	0.22	526802
46	1249	633644	0.20	634893
47	1186	512499	0.23	513685
48	1132	549481	0.21	550613
49	1818	856989	0.21	858807
50	1620	723583	0.22	725203
51	1163	527786	0.22	528949
52	1175	512734	0.23	513909
53	1231	549523	0.22	550754
54	1085	523924	0.21	525009
55	1162	491922	0.24	493084
56	2118	518418	0.41	520536
57	1253	509342	0.25	510595
58	1222	562008	0.22	563230
59	1075	492966	0.22	494041
60	970	449998	0.22	450968
61	996	438325	0.23	439321
62	1077	448586	0.24	449663
63	891	426696	0.21	427587
64	882	415839	0.21	416721
65	835	401929	0.21	402764
66	991	415413	0.24	416404
67	1114	475052	0.23	476166
68	1779	539781	0.33	541560
69	1274	581483	0.22	582757
70	979	397288	0.25	398267
71	780	369738	0.21	370518
72	827	358075	0.23	358902
73	1098	361152	0.30	362250
74	759	365727	0.21	366486
75	730	343900	0.21	344630
76	673	338840	0.20	339513
77	758	321895	0.23	322653
78	740	310050	0.24	310790
79	605	294362	0.21	294967
80	662	287303	0.23	287965
81	685	299340	0.23	300025
82	717	291100	0.25	291817
83	590	288948	0.20	289538
84	779	268878	0.29	269657
85	687	306160	0.22	306847
86	703	262145	0.27	262848
87	637	261061	0.24	261698
88	565	233789	0.24	234354
89	509	231747	0.22	232256
90	538	236546	0.23	237084
91	525	240311	0.22	240836
92	600	229065	0.26	229665
93	471	205587	0.23	206058
94	401	197138	0.20	197539
95	424	197768	0.21	198192
96	456	196741	0.23	197197
97	387	221462	0.17	221849
98	374	83635	0.45	84009
99	283	0	100.00	283

CHH context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	948	243554	0.39	244502
2	7231	4003172	0.18	4010403
3	5066	2173746	0.23	2178812
4	7539	2264790	0.33	2272329
5	3518	1837310	0.19	1840828
6	4640	1890034	0.24	1894674
7	4639	1989492	0.23	1994131
8	5024	2222463	0.23	2227487
9	5084	2132567	0.24	2137651
10	5811	2430610	0.24	2436421
11	4314	2135041	0.20	2139355
12	4438	2011497	0.22	2015935
13	3778	1901897	0.20	1905675
14	4526	2007389	0.22	2011915
15	4157	1777158	0.23	1781315
16	3979	1821083	0.22	1825062
17	4333	1768953	0.24	1773286
18	3956	1745913	0.23	1749869
19	4228	1971545	0.21	1975773
20	5467	1878402	0.29	1883869
21	4016	1955458	0.20	1959474
22	3464	1814452	0.19	1817916
23	3567	1826803	0.19	1830370
24	3402	1774114	0.19	1777516
25	3590	1797349	0.20	1800939
26	3596	1890640	0.19	1894236
27	3935	1683671	0.23	1687606
28	3665	1662939	0.22	1666604
29	3847	1702642	0.23	1706489
30	3896	1879917	0.21	1883813
31	3686	1827045	0.20	1830731
32	3786	1716933	0.22	1720719
33	3643	1602129	0.23	1605772
34	3438	1846078	0.19	1849516
35	3062	1524298	0.20	1527360
36	3763	1672429	0.22	1676192
37	3893	1917289	0.20	1921182
38	3315	1585716	0.21	1589031
39	3302	1493552	0.22	1496854
40	3169	1598256	0.20	1601425
41	4051	1928015	0.21	1932066
42	3620	1825062	0.20	1828682
43	3852	1534666	0.25	1538518
44	3097	1483609	0.21	1486706
45	3324	1462936	0.23	1466260
46	3116	1484809	0.21	1487925
47	3017	1439616	0.21	1442633
48	3388	1356524	0.25	1359912
49	3826	1415439	0.27	1419265
50	3472	1705107	0.20	1708579
51	3159	1596591	0.20	1599750
52	4064	1560733	0.26	1564797
53	4046	1402356	0.29	1406402
54	3819	1493094	0.26	1496913
55	2988	1320921	0.23	1323909
56	3510	1316382	0.27	1319892
57	2819	1235437	0.23	1238256
58	2863	1254310	0.23	1257173
59	2671	1280491	0.21	1283162
60	2821	1322939	0.21	1325760
61	2844	1204684	0.24	1207528
62	2975	1230416	0.24	1233391
63	4421	1180299	0.37	1184720
64	3657	1291550	0.28	1295207
65	2857	1103770	0.26	1106627
66	2730	1083516	0.25	1086246
67	2176	1046984	0.21	1049160
68	2380	1088303	0.22	1090683
69	2617	1151055	0.23	1153672
70	2724	1065107	0.26	1067831
71	2108	987392	0.21	989500
72	2071	988966	0.21	991037
73	2339	959064	0.24	961403
74	2304	927799	0.25	930103
75	2270	942670	0.24	944940
76	2000	947022	0.21	949022
77	1866	870279	0.21	872145
78	1859	881119	0.21	882978
79	2184	885059	0.25	887243
80	1682	830991	0.20	832673
81	1622	765529	0.21	767151
82	1615	749136	0.22	750751
83	1578	699283	0.23	700861
84	1703	678745	0.25	680448
85	1467	659808	0.22	661275
86	1435	662803	0.22	664238
87	1362	683416	0.20	684778
88	1425	683741	0.21	685166
89	1544	664447	0.23	665991
90	1507	629808	0.24	631315
91	1324	657762	0.20	659086
92	1510	642716	0.23	644226
93	1193	618780	0.19	619973
94	1261	582790	0.22	584051
95	1152	533567	0.22	534719
96	1383	527004	0.26	528387
97	1106	539082	0.20	540188
98	766	224517	0.34	225283
99	522	0	100.00	522

