CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
16	5070	2765870	0.18	2770940
17	5728	2735649	0.21	2741377
18	4707	2826824	0.17	2831531
19	5378	2992376	0.18	2997754
20	4615	2510977	0.18	2515592
21	4796	2486977	0.19	2491773
22	4623	2667091	0.17	2671714
23	4399	2678921	0.16	2683320
24	4715	2818989	0.17	2823704
25	6690	2734463	0.24	2741153
26	5690	2571039	0.22	2576729
27	4789	2922916	0.16	2927705
28	4738	3040728	0.16	3045466
29	4717	2688222	0.18	2692939
30	4438	2515821	0.18	2520259
31	6506	2943623	0.22	2950129
32	5432	2964185	0.18	2969617
33	7415	2802663	0.26	2810078
34	5014	2743936	0.18	2748950
35	5787	3380200	0.17	3385987
36	8730	3252786	0.27	3261516
37	5044	2565634	0.20	2570678
38	4618	2569439	0.18	2574057
39	4821	2632761	0.18	2637582
40	5092	2609091	0.19	2614183
41	8946	3156294	0.28	3165240
42	5284	2538121	0.21	2543405
43	5432	3125685	0.17	3131117
44	5053	2610542	0.19	2615595
45	6121	3251150	0.19	3257271
46	4617	2577090	0.18	2581707
47	4576	2462402	0.19	2466978
48	4647	2571435	0.18	2576082
49	5464	3251179	0.17	3256643
50	4748	2555651	0.19	2560399
51	4295	2471267	0.17	2475562
52	4379	2434986	0.18	2439365
53	4734	2522208	0.19	2526942
54	4811	2482918	0.19	2487729
55	7516	2720523	0.28	2728039
56	4459	2518194	0.18	2522653
57	5242	2569974	0.20	2575216
58	4846	2665670	0.18	2670516
59	5728	2806244	0.20	2811972
60	5393	2601035	0.21	2606428
61	5267	2753170	0.19	2758437
62	4955	2578264	0.19	2583219
63	8086	2707830	0.30	2715916
64	4958	2555515	0.19	2560473
65	4811	2546571	0.19	2551382
66	4989	2593284	0.19	2598273
67	5147	2841093	0.18	2846240
68	5070	2995575	0.17	3000645
69	4578	2556673	0.18	2561251
70	4951	2566022	0.19	2570973
71	5707	2566458	0.22	2572165
72	4890	2656961	0.18	2661851
73	4445	2511929	0.18	2516374
74	5061	2904542	0.17	2909603
75	4743	2589258	0.18	2594001
76	5516	2800407	0.20	2805923
77	4518	2469252	0.18	2473770
78	4545	2339381	0.19	2343926
79	4297	2301365	0.19	2305662
80	4399	2410405	0.18	2414804
81	4894	2450769	0.20	2455663
82	5345	2336514	0.23	2341859
83	4167	2340923	0.18	2345090
84	4608	2389567	0.19	2394175
85	4206	2345295	0.18	2349501
86	4452	2339853	0.19	2344305
87	4099	2175310	0.19	2179409
88	3967	2212225	0.18	2216192
89	4493	2314753	0.19	2319246
90	4194	2208900	0.19	2213094
91	4259	2169763	0.20	2174022
92	4226	2186405	0.19	2190631
93	4069	2176547	0.19	2180616
94	3783	2134106	0.18	2137889
95	3929	2234427	0.18	2238356
96	4003	2092869	0.19	2096872
97	3700	1984884	0.19	1988584
98	3585	1869222	0.19	1872807
99	2902	1489528	0.19	1492430
100	2222	1434815	0.15	1437037
101	3131	1771610	0.18	1774741

CpG context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	4721	29817	13.67	34538
2	35007	9355	78.91	44362
3	72627	450278	13.89	522905
4	133553	347946	27.74	481499
5	100690	398139	20.19	498829
6	150750	443106	25.38	593856
7	171735	449482	27.64	621217
8	207288	399989	34.13	607277
9	130109	412461	23.98	542570
10	192814	411644	31.90	604458
11	112368	372600	23.17	484968
12	126749	352574	26.44	479323
13	96345	345351	21.81	441696
14	112938	341447	24.86	454385
15	109732	345192	24.12	454924
16	148241	348012	29.87	496253
17	107300	328974	24.59	436274
18	98983	301836	24.70	400819
19	119201	307287	27.95	426488
20	116724	299547	28.04	416271
21	111363	303109	26.87	414472
22	97216	276990	25.98	374206
23	99378	279313	26.24	378691
24	160849	292874	35.45	453723
25	99637	261599	27.58	361236
26	94316	253933	27.08	348249
27	110660	264254	29.52	374914
28	130103	254441	33.83	384544
29	121159	245645	33.03	366804
30	153863	257636	37.39	411499
31	110116	229093	32.46	339209
32	243082	259450	48.37	502532
33	96471	220783	30.41	317254
34	95030	206825	31.48	301855
35	92189	199450	31.61	291639
36	105119	212646	33.08	317765
37	87336	209264	29.45	296600
38	87286	191947	31.26	279233
39	85930	194494	30.64	280424
40	114201	195246	36.90	309447
41	95417	186912	33.80	282329
42	81354	175215	31.71	256569
43	88857	174160	33.78	263017
44	100555	179949	35.85	280504
45	75011	161766	31.68	236777
46	73484	165727	30.72	239211
47	71047	162705	30.39	233752
48	83910	156549	34.90	240459
49	91369	161702	36.10	253071
50	86370	142907	37.67	229277
51	80018	145967	35.41	225985
52	170476	149531	53.27	320007
53	90890	153193	37.24	244083
54	117794	153970	43.34	271764
55	87425	129691	40.27	217116
56	166748	139477	54.45	306225
57	71287	129375	35.53	200662
58	75158	128283	36.94	203441
59	78140	120789	39.28	198929
60	95585	126652	43.01	222237
61	73859	115581	38.99	189440
62	98495	120531	44.97	219026
63	74932	117734	38.89	192666
64	157564	117574	57.27	275138
65	63910	105863	37.64	169773
66	68633	107557	38.95	176190
67	64976	105398	38.14	170374
68	124335	99859	55.46	224194
69	63055	104018	37.74	167073
70	77549	97066	44.41	174615
71	57959	93858	38.18	151817
72	51488	93537	35.50	145025
73	53577	88166	37.80	141743
74	67673	89187	43.14	156860
75	62990	82928	43.17	145918
76	53294	90385	37.09	143679
77	49753	87810	36.17	137563
78	47896	74302	39.20	122198
79	47068	73849	38.93	120917
80	48513	79036	38.03	127549
81	56715	79687	41.58	136402
82	49308	71395	40.85	120703
83	43533	71093	37.98	114626
84	49289	70159	41.26	119448
85	52970	69300	43.32	122270
86	48372	65463	42.49	113835
87	39377	58998	40.03	98375
88	47552	68679	40.91	116231
89	40768	62171	39.60	102939
90	48197	60876	44.19	109073
91	42861	58265	42.38	101126
92	43637	61161	41.64	104798
93	38025	52307	42.09	90332
94	43291	53415	44.77	96706
95	43247	53982	44.48	97229
96	61928	52864	53.95	114792
97	63231	54241	53.83	117472
98	51139	48762	51.19	99901
99	39074	0	100.00	39074

CHG context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	60458	12676911	0.47	12737369
2	330	103688	0.32	104018
3	157	53853	0.29	54010
4	1399	673621	0.21	675020
5	1316	650710	0.20	652026
6	1665	839740	0.20	841405
7	1846	1006636	0.18	1008482
8	2055	990648	0.21	992703
9	1670	863731	0.19	865401
10	1693	837118	0.20	838811
11	1437	788873	0.18	790310
12	1338	752998	0.18	754336
13	1741	767506	0.23	769247
14	1470	717264	0.20	718734
15	1375	680211	0.20	681586
16	1445	702702	0.21	704147
17	1697	821193	0.21	822890
18	1435	720144	0.20	721579
19	2081	1011861	0.21	1013942
20	1726	803878	0.21	805604
21	1245	661512	0.19	662757
22	1371	673538	0.20	674909
23	1221	613317	0.20	614538
24	1434	678925	0.21	680359
25	1752	910231	0.19	911983
26	1256	595252	0.21	596508
27	1159	592408	0.20	593567
28	1176	625387	0.19	626563
29	1320	785794	0.17	787114
30	1584	623214	0.25	624798
31	1318	588170	0.22	589488
32	1876	659168	0.28	661044
33	1015	554579	0.18	555594
34	1064	550897	0.19	551961
35	1317	525982	0.25	527299
36	1120	506970	0.22	508090
37	1124	554302	0.20	555426
38	1458	606864	0.24	608322
39	1055	512058	0.21	513113
40	2181	757210	0.29	759391
41	998	499665	0.20	500663
42	1089	471818	0.23	472907
43	918	485411	0.19	486329
44	959	476361	0.20	477320
45	948	453020	0.21	453968
46	1023	560350	0.18	561373
47	881	427293	0.21	428174
48	935	460747	0.20	461682
49	1445	729834	0.20	731279
50	1357	613239	0.22	614596
51	889	436072	0.20	436961
52	963	414715	0.23	415678
53	892	441284	0.20	442176
54	951	432735	0.22	433686
55	872	398628	0.22	399500
56	1499	426465	0.35	427964
57	943	413182	0.23	414125
58	875	449132	0.19	450007
59	886	392007	0.23	392893
60	740	361380	0.20	362120
61	797	355486	0.22	356283
62	866	367568	0.24	368434
63	687	347667	0.20	348354
64	706	330026	0.21	330732
65	671	316470	0.21	317141
66	735	331891	0.22	332626
67	929	385105	0.24	386034
68	1379	440996	0.31	442375
69	1089	495326	0.22	496415
70	783	327391	0.24	328174
71	733	298961	0.24	299694
72	712	294814	0.24	295526
73	686	287923	0.24	288609
74	635	297143	0.21	297778
75	621	278285	0.22	278906
76	561	279063	0.20	279624
77	619	267766	0.23	268385
78	580	259795	0.22	260375
79	534	243343	0.22	243877
80	588	243245	0.24	243833
81	708	256134	0.28	256842
82	647	248699	0.26	249346
83	572	246497	0.23	247069
84	598	239182	0.25	239780
85	664	276817	0.24	277481
86	559	233206	0.24	233765
87	534	230383	0.23	230917
88	496	208639	0.24	209135
89	474	208169	0.23	208643
90	461	213714	0.22	214175
91	437	221346	0.20	221783
92	434	212706	0.20	213140
93	391	194283	0.20	194674
94	350	184606	0.19	184956
95	401	188490	0.21	188891
96	393	187570	0.21	187963
97	465	210880	0.22	211345
98	400	202583	0.20	202983
99	240	0	100.00	240

CHH context (R2)
================
position	count methylated	count unmethylated	% methylation	coverage
1	665	136630	0.48	137295
2	7486	5351839	0.14	5359325
3	6080	2914081	0.21	2920161
4	4930	2219942	0.22	2224872
5	3177	1918277	0.17	1921454
6	3498	1814456	0.19	1817954
7	3808	1933267	0.20	1937075
8	3877	2066465	0.19	2070342
9	4140	1990069	0.21	1994209
10	4215	2199625	0.19	2203840
11	3267	1940118	0.17	1943385
12	3322	1778014	0.19	1781336
13	2954	1671433	0.18	1674387
14	3061	1776891	0.17	1779952
15	2840	1537817	0.18	1540657
16	2954	1592090	0.19	1595044
17	2836	1508932	0.19	1511768
18	2655	1470521	0.18	1473176
19	3482	1685476	0.21	1688958
20	3180	1565360	0.20	1568540
21	2625	1640407	0.16	1643032
22	2636	1474580	0.18	1477216
23	2452	1520470	0.16	1522922
24	2500	1470590	0.17	1473090
25	2623	1495986	0.18	1498609
26	2641	1548255	0.17	1550896
27	2439	1364093	0.18	1366532
28	2640	1346451	0.20	1349091
29	2482	1371489	0.18	1373971
30	2688	1461673	0.18	1464361
31	2585	1423389	0.18	1425974
32	2882	1359783	0.21	1362665
33	2195	1240333	0.18	1242528
34	2282	1488196	0.15	1490478
35	2113	1188215	0.18	1190328
36	2415	1289169	0.19	1291584
37	2446	1502643	0.16	1505089
38	2041	1211819	0.17	1213860
39	1996	1125249	0.18	1127245
40	2328	1199294	0.19	1201622
41	2598	1488400	0.17	1490998
42	2296	1397197	0.16	1399493
43	2391	1102138	0.22	1104529
44	2031	1089957	0.19	1091988
45	2466	1079424	0.23	1081890
46	1977	1107811	0.18	1109788
47	1908	1072376	0.18	1074284
48	2017	978473	0.21	980490
49	2231	1035103	0.22	1037334
50	2260	1281694	0.18	1283954
51	2088	1183368	0.18	1185456
52	2896	1152739	0.25	1155635
53	2113	990077	0.21	992190
54	2476	1082448	0.23	1084924
55	1885	933921	0.20	935806
56	1984	919185	0.22	921169
57	1778	866290	0.20	868068
58	1761	859675	0.20	861436
59	1836	885494	0.21	887330
60	1811	918220	0.20	920031
61	1722	834066	0.21	835788
62	1836	853491	0.21	855327
63	2225	819223	0.27	821448
64	2503	918649	0.27	921152
65	1492	773978	0.19	775470
66	1452	738719	0.20	740171
67	1431	742433	0.19	743864
68	1568	743004	0.21	744572
69	1541	813100	0.19	814641
70	2005	744586	0.27	746591
71	1358	677784	0.20	679142
72	1520	694608	0.22	696128
73	1448	674222	0.21	675670
74	1534	649821	0.24	651355
75	1334	678320	0.20	679654
76	1357	678535	0.20	679892
77	1159	627507	0.18	628666
78	1135	650334	0.17	651469
79	1506	663391	0.23	664897
80	1148	623125	0.18	624273
81	1030	567529	0.18	568559
82	1029	559875	0.18	560904
83	1019	521363	0.20	522382
84	961	514262	0.19	515223
85	1110	502273	0.22	503383
86	1047	515065	0.20	516112
87	1020	537444	0.19	538464
88	1231	542003	0.23	543234
89	1152	523839	0.22	524991
90	1002	505807	0.20	506809
91	1055	537740	0.20	538795
92	1225	538266	0.23	539491
93	905	523315	0.17	524220
94	1002	503277	0.20	504279
95	841	454677	0.18	455518
96	1163	459144	0.25	460307
97	878	475107	0.18	475985
98	707	460187	0.15	460894
99	454	0	100.00	454

